 "GAGE No.  5:  K,I,J Coord. =   1, 88,188;  STREAM SEGMENT =  10;  REACH =  42 "
     "DATA: Time           Stage            Flow"
     1.0000000E+00   1.0296801E+03   5.6672806E+05
     1.1428572E+00   1.0301398E+03   6.8949838E+05
     1.2857143E+00   1.0301433E+03   7.0410281E+05
     1.4285715E+00   1.0301399E+03   6.9031606E+05
     1.5714285E+00   1.0301409E+03   6.9428400E+05
     1.7142857E+00   1.0301415E+03   6.9671688E+05
     1.8571429E+00   1.0301415E+03   6.9667506E+05
     2.0000000E+00   1.0301415E+03   6.9657775E+05
     2.1428571E+00   1.0301331E+03   6.6327381E+05
     2.2857144E+00   1.0301313E+03   6.5640356E+05
     2.4285715E+00   1.0301305E+03   6.5307806E+05
     2.5714285E+00   1.0301301E+03   6.5169888E+05
     2.7142859E+00   1.0301300E+03   6.5132400E+05
     2.8571429E+00   1.0301300E+03   6.5127606E+05
     3.0000000E+00   1.0301300E+03   6.5128925E+05
     3.1428571E+00   1.0301298E+03   6.5024425E+05
     3.2857144E+00   1.0301279E+03   6.4349969E+05
     3.4285715E+00   1.0301272E+03   6.4063881E+05
     3.5714285E+00   1.0301270E+03   6.3945075E+05
     3.7142859E+00   1.0301268E+03   6.3916850E+05
     3.8571429E+00   1.0301268E+03   6.3915581E+05
     4.0000000E+00   1.0301268E+03   6.3916106E+05
     4.1428571E+00   1.0300518E+03   3.9146491E+05
     4.2857141E+00   1.0300338E+03   3.4280828E+05
     4.4285717E+00   1.0300321E+03   3.3848288E+05
     4.5714288E+00   1.0300309E+03   3.3546528E+05
     4.7142859E+00   1.0300305E+03   3.3450700E+05
     4.8571429E+00   1.0300304E+03   3.3428728E+05
     5.0000000E+00   1.0300304E+03   3.3422012E+05
     5.1428571E+00   1.0300483E+03   3.8180022E+05
     5.2857141E+00   1.0300499E+03   3.8612181E+05
     5.4285717E+00   1.0300483E+03   3.8176362E+05
     5.5714288E+00   1.0300479E+03   3.8047575E+05
     5.7142859E+00   1.0300479E+03   3.8028103E+05
     5.8571429E+00   1.0300479E+03   3.8028328E+05
     6.0000000E+00   1.0300479E+03   3.8029462E+05
     6.1428571E+00   1.0300586E+03   4.1081106E+05
     6.2857141E+00   1.0300585E+03   4.1050156E+05
     6.4285717E+00   1.0300571E+03   4.0664022E+05
     6.5714288E+00   1.0300565E+03   4.0489478E+05
     6.7142859E+00   1.0300563E+03   4.0423116E+05
     6.8571429E+00   1.0300563E+03   4.0407894E+05
     7.0000000E+00   1.0300563E+03   4.0407728E+05
     7.1428571E+00   1.0300803E+03   4.7659566E+05
     7.2857141E+00   1.0300822E+03   4.8265012E+05
     7.4285717E+00   1.0300808E+03   4.7823462E+05
     7.5714288E+00   1.0300806E+03   4.7738491E+05
     7.7142859E+00   1.0300804E+03   4.7719306E+05
     7.8571429E+00   1.0300804E+03   4.7714353E+05
     8.0000000E+00   1.0300804E+03   4.7715216E+05
     8.1428576E+00   1.0300992E+03   5.3921725E+05
     8.2857141E+00   1.0301005E+03   5.4359412E+05
     8.4285717E+00   1.0300994E+03   5.3970031E+05
     8.5714283E+00   1.0300991E+03   5.3873025E+05
     8.7142859E+00   1.0300990E+03   5.3845919E+05
     8.8571434E+00   1.0300990E+03   5.3841069E+05
     9.0000000E+00   1.0300990E+03   5.3841956E+05
     9.1428576E+00   1.0300061E+03   2.7593041E+05
     9.2857141E+00   1.0299807E+03   2.2219600E+05
     9.4285717E+00   1.0299746E+03   2.1043723E+05
     9.5714283E+00   1.0299708E+03   2.0332284E+05
     9.7142859E+00   1.0299696E+03   2.0110819E+05
     9.8571434E+00   1.0299694E+03   2.0063527E+05
     1.0000000E+01   1.0299692E+03   2.0044503E+05
     1.0142858E+01   1.0299139E+03   1.1383509E+05
     1.0285714E+01   1.0298960E+03   9.1916594E+04
     1.0428572E+01   1.0298890E+03   8.4213500E+04
     1.0571428E+01   1.0298832E+03   7.8138469E+04
     1.0714286E+01   1.0298807E+03   7.5629469E+04
     1.0857143E+01   1.0298804E+03   7.5204914E+04
     1.1000000E+01   1.0298804E+03   7.5202234E+04
     1.1142858E+01   1.0298429E+03   4.3332004E+04
     1.1285714E+01   1.0298278E+03   3.3420559E+04
     1.1428572E+01   1.0298218E+03   2.9910703E+04
     1.1571428E+01   1.0298182E+03   2.7982986E+04
     1.1714286E+01   1.0298170E+03   2.7327910E+04
     1.1857143E+01   1.0298168E+03   2.7146982E+04
     1.2000000E+01   1.0298165E+03   2.7037680E+04
     1.2142858E+01   1.0297686E+03   8.5429463E+03
     1.2285714E+01   1.0297314E+03   2.0026326E+03
     1.2428572E+01   1.0297124E+03   5.8288940E+02
     1.2571428E+01   1.0296956E+03   8.2152885E+01
     1.2714286E+01   1.0296801E+03   0.0000000E+00
     1.2857143E+01   1.0296801E+03   0.0000000E+00
     1.3000000E+01   1.0296801E+03   0.0000000E+00
     1.3142858E+01   1.0296801E+03   0.0000000E+00
     1.3285714E+01   1.0296801E+03   0.0000000E+00
     1.3428572E+01   1.0296801E+03   0.0000000E+00
     1.3571428E+01   1.0296801E+03   0.0000000E+00
     1.3714286E+01   1.0296801E+03   0.0000000E+00
     1.3857143E+01   1.0296801E+03   0.0000000E+00
     1.4000000E+01   1.0296801E+03   0.0000000E+00
     1.4142858E+01   1.0296918E+03   3.6890694E+01
     1.4285714E+01   1.0296914E+03   4.6258018E+01
     1.4428572E+01   1.0296919E+03   4.5895947E+01
     1.4571428E+01   1.0296919E+03   4.5888023E+01
     1.4714286E+01   1.0296919E+03   4.5934536E+01
     1.4857143E+01   1.0296919E+03   4.5878384E+01
     1.5000000E+01   1.0296919E+03   4.5927101E+01
     1.5142858E+01   1.0297144E+03   6.8441968E+02
     1.5285714E+01   1.0297145E+03   6.8566541E+02
     1.5428572E+01   1.0297145E+03   6.8544965E+02
     1.5571428E+01   1.0297142E+03   6.6942468E+02
     1.5714286E+01   1.0297140E+03   6.5956293E+02
     1.5857143E+01   1.0297140E+03   6.5884308E+02
     1.6000000E+01   1.0297140E+03   6.5921259E+02
     1.6142857E+01   1.0297063E+03   3.2968076E+02
     1.6285715E+01   1.0297059E+03   3.1835812E+02
     1.6428572E+01   1.0297051E+03   2.8992166E+02
