 "GAGE No.  3:  K,I,J Coord. =   1, 68,117;  STREAM SEGMENT =   7;  REACH =  10 "
     "DATA: Time           Stage            Flow"
     1.0000000E+00   1.0582300E+03   4.9736617E+04
     1.1428572E+00   1.0585746E+03   6.0698100E+05
     1.2857143E+00   1.0585911E+03   6.8752606E+05
     1.4285715E+00   1.0585884E+03   6.7358938E+05
     1.5714285E+00   1.0585883E+03   6.7308462E+05
     1.7142857E+00   1.0585883E+03   6.7336488E+05
     1.8571429E+00   1.0585883E+03   6.7325519E+05
     2.0000000E+00   1.0585883E+03   6.7327519E+05
     2.1428571E+00   1.0585734E+03   6.0094306E+05
     2.2857144E+00   1.0585688E+03   5.8015712E+05
     2.4285715E+00   1.0585690E+03   5.8071712E+05
     2.5714285E+00   1.0585688E+03   5.8013544E+05
     2.7142859E+00   1.0585688E+03   5.8025044E+05
     2.8571429E+00   1.0585688E+03   5.8026012E+05
     3.0000000E+00   1.0585688E+03   5.8025550E+05
     3.1428571E+00   1.0585653E+03   5.6427762E+05
     3.2857144E+00   1.0585640E+03   5.5802269E+05
     3.4285715E+00   1.0585637E+03   5.5733262E+05
     3.5714285E+00   1.0585637E+03   5.5724206E+05
     3.7142859E+00   1.0585637E+03   5.5728750E+05
     3.8571429E+00   1.0585637E+03   5.5729212E+05
     4.0000000E+00   1.0585637E+03   5.5729050E+05
     4.1428571E+00   1.0585278E+03   4.1133788E+05
     4.2857141E+00   1.0585177E+03   3.7506703E+05
     4.4285717E+00   1.0585172E+03   3.7346591E+05
     4.5714288E+00   1.0585171E+03   3.7278712E+05
     4.7142859E+00   1.0585171E+03   3.7283784E+05
     4.8571429E+00   1.0585171E+03   3.7286544E+05
     5.0000000E+00   1.0585171E+03   3.7285722E+05
     5.1428571E+00   1.0585338E+03   4.3364503E+05
     5.2857141E+00   1.0585370E+03   4.4587519E+05
     5.4285717E+00   1.0585367E+03   4.4495916E+05
     5.5714288E+00   1.0585369E+03   4.4537781E+05
     5.7142859E+00   1.0585369E+03   4.4537131E+05
     5.8571429E+00   1.0585369E+03   4.4536131E+05
     6.0000000E+00   1.0585369E+03   4.4536403E+05
     6.1428571E+00   1.0585299E+03   4.1902969E+05
     6.2857141E+00   1.0585288E+03   4.1483712E+05
     6.4285717E+00   1.0585288E+03   4.1477600E+05
     6.5714288E+00   1.0585287E+03   4.1469212E+05
     6.7142859E+00   1.0585287E+03   4.1474131E+05
     6.8571429E+00   1.0585288E+03   4.1475734E+05
     7.0000000E+00   1.0585288E+03   4.1475559E+05
     7.1428571E+00   1.0585376E+03   4.4833866E+05
     7.2857141E+00   1.0585388E+03   4.5298191E+05
     7.4285717E+00   1.0585386E+03   4.5232100E+05
     7.5714288E+00   1.0585387E+03   4.5236856E+05
     7.7142859E+00   1.0585387E+03   4.5238116E+05
     7.8571429E+00   1.0585387E+03   4.5238434E+05
     8.0000000E+00   1.0585387E+03   4.5238631E+05
     8.1428576E+00   1.0585430E+03   4.6925503E+05
     8.2857141E+00   1.0585425E+03   4.6775331E+05
     8.4285717E+00   1.0585424E+03   4.6706856E+05
     8.5714283E+00   1.0585424E+03   4.6707491E+05
     8.7142859E+00   1.0585424E+03   4.6709453E+05
     8.8571434E+00   1.0585424E+03   4.6710253E+05
     9.0000000E+00   1.0585424E+03   4.6710194E+05
     9.1428576E+00   1.0584901E+03   2.8659962E+05
