 "GAGE No.  1:  K,I,J Coord. =   1, 66, 12;  STREAM SEGMENT =   1;  REACH =  11 "
     "DATA: Time           Stage            Flow"
     1.0000000E+00   1.0977300E+03   1.0285872E+05
     1.1428572E+00   1.0979027E+03   6.5859570E+04
     1.2857143E+00   1.0978922E+03   5.6646730E+04
     1.4285715E+00   1.0978934E+03   5.7696684E+04
     1.5714285E+00   1.0978934E+03   5.7634984E+04
     1.7142857E+00   1.0978934E+03   5.7621305E+04
     1.8571429E+00   1.0978934E+03   5.7628316E+04
     2.0000000E+00   1.0978934E+03   5.7626281E+04
     2.1428571E+00   1.0978962E+03   6.0162336E+04
     2.2857144E+00   1.0978971E+03   6.0857074E+04
     2.4285715E+00   1.0978970E+03   6.0777492E+04
     2.5714285E+00   1.0978970E+03   6.0782406E+04
     2.7142859E+00   1.0978970E+03   6.0783375E+04
     2.8571429E+00   1.0978970E+03   6.0782852E+04
     3.0000000E+00   1.0978970E+03   6.0783008E+04
     3.1428571E+00   1.0979009E+03   6.4286609E+04
     3.2857144E+00   1.0979020E+03   6.5231012E+04
     3.4285715E+00   1.0979019E+03   6.5120496E+04
     3.5714285E+00   1.0979019E+03   6.5127922E+04
     3.7142859E+00   1.0979019E+03   6.5129070E+04
     3.8571429E+00   1.0979019E+03   6.5128398E+04
     4.0000000E+00   1.0979019E+03   6.5128605E+04
     4.1428571E+00   1.0979027E+03   6.5932961E+04
     4.2857141E+00   1.0979030E+03   6.6147414E+04
     4.4285717E+00   1.0979030E+03   6.6122117E+04
     4.5714288E+00   1.0979030E+03   6.6123859E+04
     4.7142859E+00   1.0979030E+03   6.6124102E+04
     4.8571429E+00   1.0979030E+03   6.6123953E+04
     5.0000000E+00   1.0979030E+03   6.6124008E+04
     5.1428571E+00   1.0979032E+03   6.6359695E+04
     5.2857141E+00   1.0979033E+03   6.6422711E+04
     5.4285717E+00   1.0979033E+03   6.6415219E+04
     5.5714288E+00   1.0979033E+03   6.6415734E+04
     5.7142859E+00   1.0979033E+03   6.6415820E+04
     5.8571429E+00   1.0979033E+03   6.6415781E+04
     6.0000000E+00   1.0979033E+03   6.6415781E+04
     6.1428571E+00   1.0979137E+03   7.6282453E+04
     6.2857141E+00   1.0979163E+03   7.8849344E+04
     6.4285717E+00   1.0979160E+03   7.8532820E+04
     6.5714288E+00   1.0979160E+03   7.8558305E+04
     6.7142859E+00   1.0979160E+03   7.8560250E+04
     6.8571429E+00   1.0979160E+03   7.8558625E+04
     7.0000000E+00   1.0979160E+03   7.8559148E+04
     7.1428571E+00   1.0979216E+03   8.4143836E+04
     7.2857141E+00   1.0979230E+03   8.5546984E+04
     7.4285717E+00   1.0979227E+03   8.5369914E+04
     7.5714288E+00   1.0979229E+03   8.5385156E+04
     7.7142859E+00   1.0979229E+03   8.5385930E+04
     7.8571429E+00   1.0979229E+03   8.5385086E+04
     8.0000000E+00   1.0979229E+03   8.5385367E+04
     8.1428576E+00   1.0979279E+03   9.0674609E+04
     8.2857141E+00   1.0979291E+03   9.1976555E+04
     8.4285717E+00   1.0979290E+03   9.1809234E+04
     8.5714283E+00   1.0979290E+03   9.1824398E+04
     8.7142859E+00   1.0979290E+03   9.1824852E+04
     8.8571434E+00   1.0979290E+03   9.1824125E+04
     9.0000000E+00   1.0979290E+03   9.1824367E+04
     9.1428576E+00   1.0979456E+03   1.1009835E+05
     9.2857141E+00   1.0979492E+03   1.1444354E+05
     9.4285717E+00   1.0979487E+03   1.1385820E+05
     9.5714283E+00   1.0979489E+03   1.1391809E+05
     9.7142859E+00   1.0979489E+03   1.1391737E+05
     9.8571434E+00   1.0979489E+03   1.1391537E+05
     1.0000000E+01   1.0979489E+03   1.1391616E+05
     1.0142858E+01   1.0979180E+03   8.0444219E+04
     1.0285714E+01   1.0979097E+03   7.2411031E+04
     1.0428572E+01   1.0979108E+03   7.3391812E+04
     1.0571428E+01   1.0979106E+03   7.3316422E+04
     1.0714286E+01   1.0979106E+03   7.3309352E+04
     1.0857143E+01   1.0979106E+03   7.3314633E+04
     1.1000000E+01   1.0979106E+03   7.3312945E+04
     1.1142858E+01   1.0979088E+03   7.1634570E+04
     1.1285714E+01   1.0979084E+03   7.1200453E+04
     1.1428572E+01   1.0979084E+03   7.1252609E+04
     1.1571428E+01   1.0979084E+03   7.1248773E+04
     1.1714286E+01   1.0979084E+03   7.1248344E+04
     1.1857143E+01   1.0979084E+03   7.1248641E+04
     1.2000000E+01   1.0979084E+03   7.1248539E+04
     1.2142858E+01   1.0979064E+03   6.9237750E+04
